Title,Price,Availability,Category,Tags,Description
Bulbasaur,£63.00,45 in stock," Pokemon, Seed"," bulbasaur, Overgrow, Seed","Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger."
Ivysaur,£87.00,142 in stock," Pokemon, Seed"," ivysaur, Overgrow, Seed","There is a bud on this Pokémon’s back. To support its weight, Ivysaur’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon."
Venusaur,£105.00,30 in stock," Pokemon, Seed"," Overgrow, Seed, venusaur",There is a large flower on Venusaur’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people.
Charmander,£48.00,206 in stock," Lizard, Pokemon"," Blaze, charmander, Lizard","The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokémon becomes enraged, the flame burns fiercely."
Charmeleon,£165.00,284 in stock," Flame, Pokemon"," Blaze, charmeleon, Flame","Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color."
Charizard,£156.00,31 in stock," Flame, Pokemon"," Blaze, Charizard, Flame","Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself."
Squirtle,£130.00,178 in stock," Pokemon, Tiny Turtle"," squirtle, Tiny Turtle, Torrent","Squirtle’s shell is not merely used for protection. The shell’s rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds."
Wartortle,£123.00,24 in stock," Pokemon, Turtle"," Torrent, Turtle, wartortle","Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokémon’s toughness as a battler."
Blastoise,£76.00,88 in stock," Pokemon, Shellfish"," blastoise, Shellfish, Torrent",Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.
Caterpie,£73.00,40 in stock," Pokemon, Worm"," caterpie, Shield Dust, Worm","Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pokémon releases a terrifically strong odor."
Metapod,£148.00,285 in stock," Cocoon, Pokemon"," Cocoon, metapod, Shed Skin",The shell covering this Pokémon’s body is as hard as an iron slab. Metapod does not move very much. It stays still because it is preparing its soft innards for evolution inside the hard shell.
Butterfree,£162.00,242 in stock," Butterfly, Pokemon"," Butterfly, butterfree, Compound Eyes","Butterfree has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest."
Weedle,£25.00,65 in stock," Hairy Bug, Pokemon"," Hairy Bug, Shield Dust, weedle",Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).
Kakuna,£148.00,260 in stock," Cocoon, Pokemon"," Cocoon, kakuna, Shed Skin","Kakuna remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch."
Beedrill,£168.00,125 in stock," Poison Bee, Pokemon"," beedrill, Poison Bee, Swarm","Beedrill is extremely territorial. No one should ever approach its nest—this is for their own safety. If angered, they will attack in a furious swarm."
Pidgey,£159.00,175 in stock," Pokemon, Tiny Bird"," Keen Eye, pidgey, Tiny Bird","Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings."
Pidgeotto,£84.00,120 in stock," Bird, Pokemon"," Bird, Keen Eye, pidgeotto","Pidgeotto claims a large area as its own territory. This Pokémon flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws."
Pidgeot,£185.00,90 in stock," Bird, Pokemon"," Bird, Keen Eye, pidgeot","This Pokémon has a dazzling plumage of beautifully glossy feathers. Many Trainers are captivated by the striking beauty of the feathers on its head, compelling them to choose Pidgeot as their Pokémon."
Rattata,£128.00,16 in stock," Mouse, Pokemon"," Mouse, rattata, Run Away","Rattata is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives—it will make its nest anywhere."
Raticate,£60.00,204 in stock," Mouse, Pokemon"," Mouse, raticate, Run Away","Raticate’s sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs. It may even chew on the walls of houses."
Spearow,£133.00,46 in stock," Pokemon, Tiny Bird"," Keen Eye, spearow, Tiny Bird","Spearow has a very loud cry that can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger."
Fearow,£95.00,276 in stock," Beak, Pokemon"," Beak, fearow, Keen Eye",Fearow is recognized by its long neck and elongated beak. They are conveniently shaped for catching prey in soil or water. It deftly moves its long and skinny beak to pluck prey.
Ekans,£55.00,120 in stock," Pokemon, Snake"," ekans, Shed Skin, Snake",Ekans curls itself up in a spiral while it rests. Assuming this position allows it to quickly respond to a threat from any direction with a glare from its upraised head.
Arbok,£182.00,248 in stock," Cobra, Pokemon"," arbok, Cobra, Shed Skin","This Pokémon is terrifically strong in order to constrict things with its body. It can even flatten steel oil drums. Once Arbok wraps its body around its foe, escaping its crunching embrace is impossible."
Pikachu,£37.00,254 in stock," Mouse, Pokemon"," Mouse, pikachu, Static",This Pokémon has electricity-storing pouches on its cheeks. These appear to become electrically charged during the night while Pikachu sleeps. It occasionally discharges electricity when it is dozy after waking up.
Raichu,£140.00,215 in stock," Mouse, Pokemon"," Mouse, raichu, Static",This Pokémon exudes a weak electrical charge from all over its body that makes it take on a slight glow in darkness. Raichu plants its tail in the ground to discharge electricity.
Sandshrew,£82.00,100 in stock," Mouse, Pokemon"," Mouse, Sand Veil, sandshrew","Sandshrew has a very dry hide that is extremely tough. The Pokémon can roll into a ball that repels any attack. At night, it burrows into the desert sand to sleep."
Sandslash,£155.00,236 in stock," Mouse, Pokemon"," Mouse, Sand Veil, sandslash","Sandslash can roll up its body as if it were a ball covered with large spikes. In battle, this Pokémon will try to make the foe flinch by jabbing it with its spines. It then leaps at the stunned foe to tear wildly with its sharp claws."
Nidorina,£28.00,58 in stock," Poison Pin, Pokemon"," nidorina, Poison Pin, Poison Point","When Nidorina are with their friends or family, they keep their barbs tucked away to prevent hurting each other. This Pokémon appears to become nervous if separated from the others."
Nidoqueen,£106.00,153 in stock," Drill, Pokemon"," Drill, nidoqueen, Poison Point",Nidoqueen’s body is encased in extremely hard scales. It is adept at sending foes flying with harsh tackles. This Pokémon is at its strongest when it is defending its young.
Nidorino,£179.00,279 in stock," Poison Pin, Pokemon"," nidorino, Poison Pin, Poison Point","Nidorino has a horn that is harder than a diamond. If it senses a hostile presence, all the barbs on its back bristle up at once, and it challenges the foe with all its might."
Nidoking,£31.00,178 in stock," Drill, Pokemon"," Drill, nidoking, Poison Point","Nidoking’s thick tail packs enormously destructive power. With one swing, it can topple a metal transmission tower. Once this Pokémon goes on a rampage, there is no stopping it."
Clefairy,£160.00,86 in stock," Fairy, Pokemon"," clefairy, Cute Charm, Fairy","On every night of a full moon, groups of this Pokémon come out to play. When dawn arrives, the tired Clefairy return to their quiet mountain retreats and go to sleep nestled up against each other."
Clefable,£188.00,23 in stock," Fairy, Pokemon"," clefable, Cute Charm, Fairy","Clefable moves by skipping lightly as if it were flying using its wings. Its bouncy step lets it even walk on water. It is known to take strolls on lakes on quiet, moonlit nights."
Vulpix,£85.00,268 in stock," Fox, Pokemon"," Flash Fire, Fox, vulpix","Inside Vulpix’s body burns a flame that never goes out. During the daytime, when the temperatures rise, this Pokémon releases flames from its mouth to prevent its body from growing too hot."
Ninetales,£52.00,215 in stock," Fox, Pokemon"," Flash Fire, Fox, ninetales",Legend has it that Ninetales came into being when nine wizards possessing sacred powers merged into one. This Pokémon is highly intelligent—it can understand human speech.
Jigglypuff,£61.00,136 in stock," Balloon, Pokemon"," Balloon, Cute Charm, jigglypuff","When this Pokémon sings, it never pauses to breathe. If it is in a battle against an opponent that does not easily fall asleep, Jigglypuff cannot breathe, endangering its life."
Wigglytuff,£130.00,260 in stock," Balloon, Pokemon"," Balloon, Cute Charm, wigglytuff","Wigglytuff’s body is very flexible. By inhaling deeply, this Pokémon can inflate itself seemingly without end. Once inflated, Wigglytuff bounces along lightly like a balloon."
Zubat,£125.00,154 in stock," Bat, Pokemon"," Bat, Inner Focus, zubat","Zubat avoids sunlight because exposure causes it to become unhealthy. During the daytime, it stays in caves or under the eaves of old houses, sleeping while hanging upside down."
Golbat,£136.00,52 in stock," Bat, Pokemon"," Bat, golbat, Inner Focus","Golbat bites down on prey with its four fangs and drinks the victim’s blood. It becomes active on inky dark moonless nights, flying around to attack people and Pokémon."
Oddish,£45.00,296 in stock," Pokemon, Weed"," Chlorophyll, oddish, Weed","Oddish searches for fertile, nutrient-rich soil, then plants itself. During the daytime, while it is planted, this Pokémon’s feet are thought to change shape and become similar to the roots of trees."
Gloom,£178.00,74 in stock," Pokemon, Weed"," Chlorophyll, gloom, Weed","From its mouth Gloom drips honey that smells absolutely horrible. Apparently, it loves the horrid stench. It sniffs the noxious fumes and then drools even more of its honey."
Vileplume,£170.00,283 in stock," Flower, Pokemon"," Chlorophyll, Flower, vileplume","Vileplume has the world’s largest petals. They are used to attract prey that are then doused with toxic spores. Once the prey are immobilized, this Pokémon catches and devours them."
Paras,£168.00,192 in stock," Mushroom, Pokemon"," Effect Spore, Mushroom, paras",Paras has parasitic mushrooms growing on its back called tochukaso. They grow large by drawing nutrients from this Bug Pokémon host. They are highly valued as a medicine for extending life.
Parasect,£27.00,17 in stock," Mushroom, Pokemon"," Effect Spore, Mushroom, parasect","Parasect is known to infest large trees en masse and drain nutrients from the lower trunk and roots. When an infested tree dies, they move onto another tree all at once."
Venonat,£158.00,177 in stock," Insect, Pokemon"," Compound Eyes, Insect, venonat","Venonat is said to have evolved with a coat of thin, stiff hair that covers its entire body for protection. It possesses large eyes that never fail to spot even minuscule prey."
Venomoth,£53.00,22 in stock," Poison Moth, Pokemon"," Poison Moth, Shield Dust, venomoth","Venomoth is nocturnal—it is a Pokémon that only becomes active at night. Its favorite prey are small insects that gather around streetlights, attracted by the light in the darkness."
Diglett,£122.00,227 in stock," Mole, Pokemon"," diglett, Mole, Sand Veil","Diglett are raised in most farms. The reason is simple— wherever this Pokémon burrows, the soil is left perfectly tilled for planting crops. This soil is made ideal for growing delicious vegetables."
Dugtrio,£111.00,290 in stock," Mole, Pokemon"," dugtrio, Mole, Sand Veil","Dugtrio are actually triplets that emerged from one body. As a result, each triplet thinks exactly like the other two triplets. They work cooperatively to burrow endlessly."
Meowth,£131.00,203 in stock," Pokemon, Scratch Cat"," meowth, Pickup, Scratch Cat","Meowth withdraws its sharp claws into its paws to slinkily sneak about without making any incriminating footsteps. For some reason, this Pokémon loves shiny coins that glitter with light."
Persian,£200.00,108 in stock," Classy Cat, Pokemon"," Classy Cat, persian, Technician",Persian has six bold whiskers that give it a look of toughness. The whiskers sense air movements to determine what is in the Pokémon’s surrounding vicinity. It becomes docile if grabbed by the whiskers.
Psyduck,£182.00,214 in stock," Duck, Pokemon"," Damp, Duck, psyduck","If it uses its mysterious power, Psyduck can’t remember having done so. It apparently can’t form a memory of such an event because it goes into an altered state that is much like deep sleep."
Golduck,£31.00,278 in stock," Duck, Pokemon"," Damp, Duck, golduck","Golduck is the fastest swimmer among all Pokémon. It swims effortlessly, even in a rough, stormy sea. It sometimes rescues people from wrecked ships floundering in high seas."
Mankey,£125.00,209 in stock," Pig Monkey, Pokemon"," mankey, Pig Monkey, Vital Spirit","When Mankey starts shaking and its nasal breathing turns rough, it’s a sure sign that it is becoming angry. However, because it goes into a towering rage almost instantly, it is impossible for anyone to flee its wrath."
Primeape,£86.00,68 in stock," Pig Monkey, Pokemon"," Pig Monkey, primeape, Vital Spirit","When Primeape becomes furious, its blood circulation is boosted. In turn, its muscles are made even stronger. However, it also becomes much less intelligent at the same time."
Growlithe,£30.00,243 in stock," Pokemon, Puppy"," growlithe, Intimidate, Puppy","Growlithe has a superb sense of smell. Once it smells anything, this Pokémon won’t forget the scent, no matter what. It uses its advanced olfactory sense to determine the emotions of other living things."
